geocode,Forecast_Year,Pred_R0,Pred_Peak_Week,Pred_Total_Cases_Log,Pred_Total_Cases,Pred_Alpha,Pred_Beta
4315149,2026,2.6584806,22.84521,4.3825364,79,0.623836,0.8082678
4315305,2026,2.4955764,21.555767,4.431464,83,0.5992884,0.74865454
4315404,2026,2.472505,19.57239,7.614951,2027,0.59554994,0.741602
4315602,2026,1.5801353,21.048502,5.592875,267,0.36976027,0.47709757
4315701,2026,1.733784,22.086613,5.570722,261,0.4265182,0.5165271
4315800,2026,2.189805,22.555464,5.641272,280,0.54762566,0.65181047
4315909,2026,2.0375874,19.613522,6.3576775,575,0.5111112,0.65775084
4316006,2026,2.1171792,25.04677,6.4659276,641,0.5324919,0.6337246
4316105,2026,2.1511505,24.279753,4.409632,81,0.53984624,0.6395092
4316204,2026,1.5733957,23.1029,5.8804145,356,0.36085963,0.49175197
4316303,2026,2.4359818,23.18275,5.81188,333,0.5894865,0.7320044
4316402,2026,2.3998373,22.824356,4.401962,80,0.5879576,0.71995527
4316428,2026,2.1038458,22.165424,6.00437,404,0.5273825,0.62871706
4316451,2026,2.2247431,24.738415,5.835345,341,0.55489886,0.6637702
4316477,2026,2.8724167,22.96923,5.6841717,293,0.65184534,0.86551976
4316600,2026,2.4764054,21.217813,5.6803813,292,0.5987358,0.72990125
4316709,2026,2.1164558,19.5972,4.4589267,85,0.5323716,0.6432466
4316758,2026,2.4171107,22.590168,4.432153,83,0.59067714,0.76177275
4316808,2026,1.7721956,23.44087,8.414286,4510,0.44383466,0.52203536
4316907,2026,1.9120637,21.375132,7.620124,2037,0.4748096,0.57963246
4317004,2026,2.1939957,19.893667,4.305394,73,0.5442221,0.66036236
4317103,2026,1.7804158,21.618883,6.557961,703,0.43838063,0.5340221
4317202,2026,2.121822,21.694267,7.330944,1525,0.53189945,0.6487071
4317400,2026,1.9814959,22.703796,5.140816,169,0.49178448,0.58184785
4317509,2026,1.9445772,21.274267,6.678645,794,0.48282748,0.57393664
4317707,2026,2.149101,16.264341,5.234781,186,0.5347038,0.6446018
4317806,2026,2.1539438,22.9308,6.0254817,412,0.52125305,0.66239476
4317905,2026,2.2657313,20.238527,6.113185,450,0.5628127,0.6740036
4318002,2026,1.728888,23.575102,6.615816,745,0.42641678,0.5119014
4318101,2026,1.8895057,22.75073,4.4442844,84,0.47464526,0.565056
4318309,2026,1.8923616,22.171583,5.9052973,365,0.47487265,0.56611216
4318408,2026,2.5503771,17.947346,4.369281,77,0.6078965,0.7675411
4318457,2026,3.7560213,25.152676,4.2797623,71,0.7337338,1.1307613
4318481,2026,2.1018708,23.465717,5.3452005,208,0.5242507,0.6306974
4318499,2026,2.4295862,24.154224,5.1361904,169,0.5884058,0.80160534
4318705,2026,1.8692504,22.590845,8.483066,4831,0.46710983,0.55225456
4318804,2026,2.0689528,18.631538,3.9365928,50,0.51668376,0.62056345
4318903,2026,2.1792426,20.183918,5.7294436,306,0.543822,0.64661235
4319000,2026,1.7866788,19.07859,4.127574,61,0.4403488,0.5359005
4319109,2026,2.5874715,23.718662,6.7073135,817,0.613515,0.7762365
4319158,2026,2.621319,20.620962,5.4890456,241,0.62158966,0.7808917
4319208,2026,2.432486,20.562729,5.7660165,318,0.59354705,0.7179854
4319307,2026,2.4535482,21.938894,5.8938785,361,0.59242475,0.7404797
4319364,2026,2.1012402,21.354666,4.6249504,100,0.524108,0.63024217
4319372,2026,2.9088109,23.96004,5.4551334,232,0.6562003,0.8726538
4319406,2026,1.6540374,28.321203,4.4052477,80,0.39548305,0.49612284
4319505,2026,2.4813461,22.133049,5.4565625,233,0.59947723,0.7779771
4319604,2026,2.0304172,24.667591,5.939622,378,0.512941,0.60504675
4319737,2026,2.591524,23.251297,5.469531,236,0.6141191,0.8550344
4319901,2026,1.8726747,23.493216,8.126666,3382,0.46050254,0.58327705
4320008,2026,1.902341,24.360754,7.6363044,2071,0.4838817,0.59962237
4320107,2026,2.251354,22.82261,6.2971525,542,0.5586118,0.6766507
4320206,2026,2.329937,20.873285,6.5881696,725,0.57199216,0.7081958
4320230,2026,2.679932,22.32036,6.0130124,407,0.6268456,0.88420326
4320305,2026,2.1830208,21.450724,5.2349663,186,0.5435228,0.65884995
4320321,2026,2.6932244,24.158436,5.7641606,317,0.6286869,0.8077977
4320404,2026,2.3954887,22.29314,5.4013457,220,0.5866723,0.7319131
4320602,2026,3.4538262,22.951113,4.7800846,118,0.71102303,1.1352274
4320677,2026,1.8816817,25.990091,4.2436457,68,0.4685967,0.56439614
4320701,2026,2.2847672,21.506393,4.2106376,66,0.56232536,0.6867387
4320800,2026,1.957822,23.570919,5.075118,158,0.4925925,0.59059376
4320909,2026,2.2705693,21.225332,5.2293987,185,0.56078184,0.6815872
4321006,2026,2.3887403,23.648516,5.49489,242,0.5862291,0.7122091
4321204,2026,1.8771441,23.240265,6.5690227,711,0.47220352,0.5763745
4321303,2026,2.1631908,22.799282,4.5706596,95,0.5377336,0.6488285
4321329,2026,2.2750688,18.906874,5.006182,148,0.5637979,0.6796305
4321402,2026,2.220438,17.609213,7.4112844,1653,0.5511633,0.6727204
4321451,2026,1.9997671,23.907198,6.774205,873,0.49923912,0.5933895
4321477,2026,2.2787342,20.92916,6.5168853,675,0.5611661,0.68527067
4321501,2026,1.8682851,23.122267,6.6849613,799,0.4666181,0.5534831
4321600,2026,1.7110358,24.620586,6.9059544,997,0.41872326,0.53664154
4321709,2026,1.9223768,21.402866,6.876336,968,0.47601506,0.56951666
4321808,2026,2.169697,21.37302,7.0881634,1196,0.54321516,0.6702057
4321907,2026,2.082173,21.305239,6.7056026,815,0.51247126,0.62333155
4321956,2026,2.2901287,26.011217,6.024603,412,0.5633494,0.7555982
4322004,2026,1.9185535,19.860752,4.740471,113,0.47880653,0.58991367
4322103,2026,2.1274183,23.715664,6.1388535,462,0.53347313,0.6333427
4322301,2026,2.3181913,21.076696,5.7642207,317,0.57207346,0.6983444
4322400,2026,1.7495744,22.177893,6.367265,581,0.42830828,0.52585346
4322608,2026,2.0874104,24.128899,6.71165,820,0.52475905,0.62626684
4322707,2026,2.2659492,23.131891,6.074746,433,0.56231314,0.7273145
4323002,2026,2.0452082,22.09352,7.486183,1782,0.5133395,0.60826904
4323101,2026,2.3120341,22.893848,7.4555993,1728,0.5674845,0.69348806
4323200,2026,2.1672525,23.514656,4.878235,130,0.53859925,0.65034723
4323507,2026,2.5108285,22.243484,6.061054,427,0.60172015,0.7551941
4323705,2026,1.9894732,17.08101,6.807778,903,0.49738082,0.5967196
4323754,2026,3.0504081,24.622683,4.8145423,122,0.6721561,0.9153003
4323804,2026,2.2227983,22.83487,5.2092195,181,0.5501267,0.66730356
5000203,2026,1.432666,20.662369,6.7598085,861,0.30896637,0.43178964
5000252,2026,1.7679844,19.554604,5.7477355,312,0.43802014,0.52639323
5000609,2026,1.647804,18.385351,7.094569,1204,0.39787218,0.49488014
5000708,2026,1.4887792,17.606739,5.3084846,201,0.33515105,0.4533998
5000807,2026,2.0473068,17.927666,5.839993,342,0.5108492,0.60935134
5000856,2026,1.8138764,21.032663,5.9715157,391,0.45247424,0.5395193
5000906,2026,1.7661172,20.35033,6.3537135,573,0.43839428,0.53337777
5001003,2026,1.9068383,17.209105,6.220224,501,0.4816755,0.5691426
5001102,2026,1.4726661,17.128513,6.304219,545,0.32277733,0.45233908
5001243,2026,1.737411,15.7381115,5.935936,377,0.42896983,0.5119417
5001508,2026,1.7885021,18.619026,5.675278,290,0.44713983,0.5441642
5001904,2026,1.6184089,19.611399,6.6531224,774,0.3871665,0.48094717
5002001,2026,1.8653988,16.21869,5.630989,277,0.47131857,0.5551802
5002100,2026,1.5671892,18.611328,6.0722117,432,0.3689694,0.46933514
5002159,2026,1.8288654,11.455616,5.9222918,372,0.460345,0.5690466
5002209,2026,1.5764692,16.189627,6.164999,474,0.36650383,0.4794569
5002308,2026,1.6216638,19.144777,6.6086397,740,0.3883119,0.49131432
5002407,2026,1.6755111,20.518833,6.6993303,810,0.40697974,0.5047901
5002605,2026,1.7314093,17.623304,5.8002057,329,0.428989,0.5245421
5002704,2026,1.484894,17.308884,9.789698,17847,0.33418736,0.44081983
5002803,2026,1.7144474,13.208142,5.5390167,253,0.42191276,0.51410323
5002902,2026,1.6553048,17.48285,6.210394,496,0.39463776,0.4958017
5002951,2026,1.6297554,20.26561,6.936546,1028,0.38935748,0.4888426
5003108,2026,1.8222117,15.894572,4.6653094,105,0.45692796,0.5509622
5003157,2026,1.8595103,19.422312,6.228666,506,0.46749642,0.56747067
5003207,2026,1.585799,18.480774,7.4947405,1797,0.36729172,0.47266558
5003256,2026,1.574466,19.139927,6.734962,840,0.37054905,0.47611493
5003306,2026,1.6283263,15.701352,6.240996,512,0.39267957,0.49689013
5003454,2026,1.8220005,17.835913,6.23172,507,0.45596635,0.5426958
5003488,2026,1.5995651,18.75101,6.0664144,430,0.3787587,0.4782857
5003504,2026,1.8343308,16.872814,5.567787,260,0.45802167,0.54697436
5003702,2026,1.6065423,18.61588,8.036945,3092,0.3799307,0.47761357
5003751,2026,2.1390076,18.179804,5.9283767,374,0.53950536,0.6441356
5003801,2026,1.6272781,18.015858,6.206679,495,0.38167062,0.49073946
5003900,2026,1.7946717,19.154045,5.374789,214,0.45376256,0.5371336
5004007,2026,2.0448086,17.832369,5.775572,321,0.5181046,0.6152562
5004106,2026,1.5462645,19.493856,5.7758512,321,0.3579622,0.4632691
5004304,2026,1.9219652,17.27629,6.461864,639,0.4865314,0.5763559
5004403,2026,1.6427325,21.480793,5.1905484,178,0.3939831,0.48424572
5004502,2026,1.6055818,18.329391,6.529981,684,0.378657,0.4900003
5004601,2026,1.7570447,20.808886,7.0118303,1108,0.43709534,0.53056824
5004700,2026,1.6481625,19.444227,6.946139,1038,0.39519495,0.49413297
5004809,2026,1.9220957,19.268562,5.314312,202,0.4865066,0.57217497
5004908,2026,1.9045027,19.794476,5.478692,238,0.48598757,0.57445425
5005004,2026,1.565846,16.782986,6.582794,721,0.36893442,0.4795068
5005103,2026,2.0931647,15.228355,5.2105446,182,0.5252638,0.61153585
5005152,2026,2.083008,18.42075,6.186657,485,0.5278325,0.6203405
