geocode,graph_emb_0,graph_emb_1,graph_emb_2,graph_emb_3,graph_emb_4,graph_emb_5,graph_emb_6,graph_emb_7,graph_emb_8,graph_emb_9,graph_emb_10,graph_emb_11,graph_emb_12,graph_emb_13,graph_emb_14,graph_emb_15
1100015,0.0015746812946494503,0.003075425739076494,-0.003411902067910005,0.004011659687501068,-0.007500997247354379,0.0007713034041181366,0.0010972175268400854,-0.006001650651175095,-0.0030958249538502606,-3.3900491775832375e-15,-1.1256416091519775e-15,-2.9592875901885793e-16,-2.0354279461786785e-15,-9.317975058788965e-16,-4.53770774751026e-16,-1.4821114803568133e-15
1100023,0.001175509994202929,0.0012594807483314395,-0.0007124657843737659,-0.0004545678113782233,-0.00035737975885134386,-0.0006811634104821801,-0.0012525471480744257,0.0005103419486133178,-0.0004222576536157056,-1.4123702933346222e-15,-8.765271365348039e-17,6.762253930328858e-17,-6.041905255725689e-16,-3.492164801109321e-16,-1.280970769240359e-16,-6.797148700414135e-17
1100049,0.0015746812946494564,0.003075425739076482,-0.003411902067910006,0.004011659687501082,-0.0075009972473544006,0.000771303404118138,0.001097217526840085,-0.006001650651175086,-0.003095824953850267,-3.5392223857885062e-15,-1.0731740855337416e-15,-3.121655384515472e-16,-1.876639850808361e-15,-8.900739118330262e-16,-5.201666491187393e-16,-1.6015005555406014e-15
1100098,0.02544490893514175,-0.008569086014942138,-0.02551950217272293,-0.009385000721846334,0.007249949345297996,0.011577930912270513,0.01510075499492923,0.007567223287827082,0.0009074850970169319,-1.1250817371301376e-15,-3.425201963233742e-16,8.230744240448203e-16,3.5007925623213378e-15,1.8721456972237376e-15,4.765516946140245e-16,7.271602797486194e-16
1100106,-0.0021585063044584755,0.0006411515909558174,-0.012541607906892044,0.011913841953322223,-0.016873842028803952,-0.014791211634765128,-0.0011569144234765266,-0.004000423184728781,0.015924082965725127,-8.720966180009597e-15,-2.889724258744748e-15,2.9492321506283024e-17,-1.753623958540004e-15,-6.2278889246883e-16,-5.053758552321739e-16,-4.17029163415621e-15
1100114,-0.019556875778406462,-0.013480666147286022,-0.0038609559041341782,0.015304323726887848,-0.003037906677276138,0.004515038409444644,0.018292322652664464,-0.011012729298992057,0.01946192371263312,-4.22321298283945e-15,-1.385042245111183e-15,1.182509697900637e-15,4.80651319235138e-15,2.685732381782854e-15,6.322680611153277e-16,-2.38210775627682e-15
1100122,-0.011471106038775079,0.012593633227614465,-0.010659020206222855,0.01328371145541541,0.015446668564977914,0.0048564511369916605,-0.00712896098553401,0.011783029711412697,0.0021805957938342067,-1.0717700394380394e-15,-3.1477958497239513e-16,-1.04303919264998e-15,-4.9389351439336666e-15,-2.4704553237920922e-15,-8.747319834207e-16,4.9570335575708355e-15
1100130,0.010394077059089638,-0.001923557206443242,-0.012380964962089035,-0.0036643261026630086,0.006619786784217744,-0.020243327900149245,-0.0190632846834741,0.012147581774550536,0.0003840493584496834,3.8880742165807905e-16,-1.5175836537085246e-16,2.9678930078332342e-15,-2.1082422534630944e-16,-1.0509593007797483e-15,1.6283912020536067e-15,8.137137041963713e-16
1100148,-0.01147110603877508,0.012593633227614465,-0.010659020206222856,0.01328371145541541,0.015446668564977908,0.004856451136991658,-0.007128960985534007,0.011783029711412697,0.0021805957938342015,-1.0665539581738633e-15,-3.060634142146894e-16,-1.0447739161259568e-15,-4.933266278093691e-15,-2.4686659799250514e-15,-8.713585423593618e-16,4.956166195832847e-15
1100155,-0.02178862973603268,0.005079515949030067,0.014330372650499969,0.006336527684337872,-0.004623236285246454,-0.00838810148547973,-0.011514553682560892,-0.003985457314904427,0.0008243102105530514,7.298436405411068e-16,1.9955379554599195e-16,-5.605795483884539e-16,-2.0445814394012628e-15,-1.0776382920051022e-15,-2.7392908292142154e-16,-5.320220941561344e-16
