source_geocode,target_geocode
2211001,2200400
2211001,2211100
2211001,2205508
2211100,2211001
2211100,2205557
2211209,2200459
2211209,2205904
2211209,2201150
2211209,2208908
2211308,2204709
2211357,2203750
2211407,2201002
2211407,2204006
2211506,2205003
2211506,2207777
2211605,2207207
2211605,2200251
2211704,2203859
2211704,2202778
2211704,2209104
2300150,2303956
2300200,2306553
2300309,2305506
2300408,2303600
2300507,2308005
2300606,2312106
2300606,2309201
2300606,2304301
2300705,2312502
2300804,2302701
2300903,2303006
2300903,2313351
2300903,2306306
2301109,2408003
2301109,2401453
2301109,2307007
2301109,2304459
2301109,2310001
2301208,2306504
2301208,2301950
2301307,2312106
2301406,2302800
2301505,2310308
2301604,2309201
2301604,2311207
2301703,2308302
2301802,2307502
2301851,2308351
2301851,2311405
2301901,2307106
2301950,2309458
2301950,2301208
2301950,2309607
2302008,2503704
2302057,2304707
2302107,2305266
2302107,2306504
2302107,2309102
2302107,2305100
2302206,2309458
2302305,2304707
2302305,2302602
2302404,2306603
2302404,2313203
2302602,2304707
2302602,2302305
2302602,2307809
2302701,2300804
2302800,2306504
2302800,2301406
2302800,2304608
2302800,2313351
2303006,2300903
2303006,2310704
2303204,2304806
2303204,2304301
2303204,2307502
2303303,2304301
2303402,2305001
2303402,2209872
2303501,2309607
2303600,2300408
2303659,2308609
2303709,2312403
2303808,2314003
2303956,2300150
2304004,2313401
2304103,2305654
2304103,2311009
2304202,2309201
2304269,2313005
2304277,2311231
2304301,2309201
2304301,2303204
2304301,2300606
2304301,2313252
2304301,2303303
2304350,2312205
2304400,2309706
2304400,2307650
2304459,2301109
2304509,2313401
2304608,2302800
2304657,2311702
2304707,2308807
2304707,2302305
2304707,2302057
2304707,2307809
2304707,2302602
2304806,2303204
2304806,2314003
2304806,2307502
2304905,2312205
2304954,2311603
2304954,2310100
2304954,2305233
2305001,2207900
2305001,2303402
2305001,2311702
2305100,2302107
2305100,2309102
2305209,2309300
2305209,2305902
2305209,2310951
2305233,2309607
2305233,2304954
2305266,2302107
2305407,2305506
