source_geocode,target_geocode
1100015,1100296
1100015,1100288
1100023,1100601
1100023,1100452
1100023,1100403
1100049,1100288
1100049,1101203
1100049,5107578
1100098,5105150
1100106,1100320
1100114,1101302
1100122,1100254
1100130,1301704
1100130,1303304
1100130,1302702
1100148,1100254
1100155,1101559
1100155,1101435
1100189,1100924
1100205,1100338
1100205,1101104
1100205,1300904
1100254,1100148
1100254,1101708
1100254,1100122
1100262,1100940
1100288,1100015
1100288,1100049
1100296,1100015
1100320,1100106
1100338,1100205
1100403,1101401
1100403,1100452
1100403,1100023
1100403,1100940
1100403,1100809
1100452,1100023
1100452,1100403
1100502,1100908
1100601,1100023
1100809,1100403
1100809,1100940
1100908,1100502
1100924,1100189
1100940,1100403
1100940,1100262
1100940,1100809
1101104,1100205
1101203,1100049
1101302,1100114
1101401,1100403
1101435,1100155
1101559,1100155
1101708,1100254
1200013,1200385
1200104,1200401
1200104,1200500
1200203,1200336
1200302,1200435
1200328,1200351
1200336,1200203
1200336,1300201
1200344,1200500
1200351,1200328
1200351,1200609
1200385,1200013
1200393,1200609
1200401,1200104
1200435,1200302
1200500,1200104
1200500,1200344
1200609,1200351
1200609,1200393
1300029,1302207
1300029,1304260
1300060,1303908
1300086,1300631
1300102,1304104
1300144,1503754
1300201,1200336
1300300,1301159
1300409,1301209
1300409,1301308
1300508,1302900
1300607,1301803
1300607,1301407
1300607,1303908
1300607,1302306
1300607,1304062
1300631,1301100
1300631,1300086
1300631,1302504
1300680,1301902
1300805,1302702
1300805,1302553
1300904,1100205
1301001,1301951
1301001,1304104
1301100,1300631
1301100,1301159
1301159,1300300
1301159,1301100
1301159,1302553
1301209,1304104
1301209,1300409
1301308,1302801
1301308,1300409
1301407,1300607
1301506,1303502
1301506,1301951
1301654,1301803
1301704,1100130
1301704,1304104
1301803,1301654
1301803,1300607
1301852,1303205
1301902,1302900
1301902,1300680
1301902,1302603
1301902,1302009
1301951,1302405
1301951,1301506
1301951,1301001
1301951,1302306
1302009,1301902
1302009,1304005
1302009,1303569
1302009,1303536
1302108,1302801
1302207,1300029
1302306,1301951
1302306,1300607
1302306,1303908
1302405,1301951
1302504,1300631
1302504,1303205
1302553,1300805
1302553,1301159
1302603,1301902
1302702,1100130
1302702,1300805
1302801,1304203
1302801,1301308
1302801,1302108
1302900,1301902
1302900,1300508
1303205,1302504
1303205,1301852
1303304,5103254
1303304,1100130
1303403,1304302
1303502,1301506
1303536,1302009
1303536,1303957
1303569,1302009
1303700,1304237
1303908,1300607
1303908,1302306
1303908,1300060
1303957,1303536
1304005,1304401
1304005,1302009
1304062,1300607
1304104,1301704
1304104,1301001
1304104,1300102
1304104,1301209
1304203,1302801
1304237,1303700
1304260,1300029
1304302,1303403
1304302,1400472
1304302,1400506
1304401,1304005
1400050,1400100
1400100,1400175
1400100,1400050
1400159,1400209
1400175,1400282
1400175,1400308
1400175,1400100
1400209,1400233
1400209,1400282
1400209,1400159
1400233,1400209
1400282,1400209
1400282,1400175
1400308,1400175
1400472,1304302
1400506,1304302
1500107,1504703
1500131,1501576
1500206,1504422
1500206,1501501
1500305,1502509
1500347,1506161
1500347,1508407
1500347,1502772
1501006,1503903
1501105,1501204
1501204,1505809
1501204,1501105
1501253,1508407
1501303,1504703
1501303,1505700
1501402,1505700
1501402,1506351
1501451,1506807
1501501,1500206
1501501,1501907
1501576,1707405
1501576,2111532
1501576,1500131
1501600,1505007
1501600,1505601
1501725,1508159
1501782,1503093
1501808,1507706
1501907,1504422
1501907,1501501
1501956,2105658
1501956,1508308
1502004,1507003
1502004,1502608
1502202,1505601
1502400,1507607
1502400,1507003
1502400,1508209
1502400,1507102
1502509,1500305
1502509,1507904
1502608,1502004
1502608,1506302
1502764,1507300
1502772,1508407
1502772,1505635
1502772,1500347
1502855,1506807
1502905,1507961
1502905,1507102
1502939,2100055
1502954,1508407
1502954,1505635
1503044,1505551
1503044,1506138
1503093,1508100
1503093,1501782
1503101,1505908
1503200,1506906
1503408,1507607
1503408,1506500
1503457,1507953
1503606,1508050
1503754,1300144
1503754,1505031
1503804,1504976
1503903,1501006
1503903,1506807
1504000,1504901
1504109,1504307
1504208,1507508
1504307,1504109
1504307,1506203
1504422,1500206
1504422,1501907
1504455,1505908
1504455,1506005
1504604,1505205
1504703,1500107
1504703,1501303
1504901,1504000
1504950,1508308
1504976,1503804
1505007,1501600
1505007,1506906
1505031,1503754
1505031,5104104
1505205,1504604
1505437,1505536
1505486,1505809
1505494,1507458
1505536,1505437
1505551,1503044
1505601,1501600
1505601,1502202
1505601,1506104
1505601,1506906
1505635,1508407
1505635,1502772
1505635,1502954
1505635,1718865
1505700,1501303
1505700,1501402
1505809,1501204
1505809,1505486
1505908,1503101
1505908,1504455
1506005,1508159
1506005,1504455
1506104,1505601
1506112,1507474
1506138,1503044
1506161,1500347
1506203,1504307
1506302,1502608
1506351,1501402
1506500,1503408
1506708,1507300
1506708,5108600
1506807,1501451
1506807,1502855
1506807,1503903
1506906,1505007
1506906,1505601
1506906,1503200
1507003,1502400
1507003,1508209
1507003,1502004
1507102,1502400
1507102,1507961
1507102,1502905
1507300,1502764
1507300,1506708
1507458,1505494
1507466,1507961
1507474,1506112
1507508,1504208
1507508,2111532
1507607,1503408
1507607,1502400
1507706,1501808
1507904,1502509
1507953,1503457
1507961,1508209
1507961,1507466
1507961,1507102
1507961,1502905
1508050,1503606
1508100,1503093
1508159,1501725
1508159,1506005
1508209,1502400
1508209,1507003
1508209,1507961
1508308,1504950
1508308,1501956
1508407,1502772
1508407,1505635
1508407,1502954
1508407,1501253
1508407,1500347
1600204,1600238
1600238,1600550
1600238,1600204
1600550,1600238
1700251,1703107
1700301,1713809
1701051,1713809
1701903,1703909
1702109,1722081
1702109,1713957
1702554,1720804
1702901,1710706
1702901,1718303
1703008,1722081
1703107,1700251
1703701,1716604
1703800,1720309
1703909,1701903
1704105,1718881
1705508,1714880
1706506,1720002
1707405,1501576
1708205,1711902
1710706,1702901
1711902,1708205
1711902,1717503
1712702,1718659
1712702,2201309
1713601,1721000
1713809,2104057
1713809,1700301
1713809,1701051
1713957,1702109
1714880,1705508
1715150,5204904
1716604,1703701
1717503,1711902
1717909,1718659
1718303,1702901
1718659,1717909
1718659,1712702
1718808,2105302
1718865,1505635
1718881,1704105
1720002,1706506
1720309,1703800
1720309,2112852
1720804,1702554
1721000,1713601
1721208,2109007
1722081,1703008
1722081,1702109
2100055,2103257
2100055,1502939
2100105,2103208
2100154,2110609
2100154,2110237
2100204,2108405
2100303,2103406
2100303,2103208
2100402,2109908
2100436,2101202
2100477,2110005
2100477,2112274
2100550,2102903
2100550,2106201
2100600,2102358
2100600,2102325
2100600,2110005
2100709,2101004
2100709,2110203
2100709,2102408
2100808,2106672
2100832,2101301
2100832,2103703
2100873,2109809
2100907,2112506
2100907,2106300
2100907,2110609
2100907,2110237
2100956,2105963
2100956,2110005
2101004,2106755
2101004,2102507
2101004,2100709
2101103,2109205
2101202,2100436
2101251,2110203
2101301,2103703
2101301,2100832
2101350,2108405
2101400,2107258
2101400,2104107
2101608,2104800
2101731,2107100
2101731,2112605
2101772,2108702
2101772,2106904
2101939,2108900
2101970,2105658
2101970,2102903
2102002,2103174
2102077,2105807
2102077,2111409
2102101,2206100
2102101,2106672
2102150,2108108
2102200,2103406
2102200,2208502
2102200,2106409
2102309,2107803
2102325,2100600
2102358,2104552
2102358,2100600
2102374,2109304
2102408,2100709
2102408,2110500
2102507,2105153
2102507,2101004
2102556,2109007
2102606,2112407
2102754,2103307
2102754,2106003
2102754,2108454
2102903,2105658
2102903,2101970
2102903,2100550
2103000,2103307
2103000,2106607
2103000,2103406
2103125,2108603
2103174,2102002
2103174,2106375
2103174,2105658
2103208,2110401
2103208,2100303
2103208,2100105
2103257,2100055
2103307,2104404
2103307,2103802
2103307,2102754
2103307,2103604
2103307,2103000
2103406,2103000
2103406,2100303
2103406,2103901
2103406,2102200
2103604,2103307
2103703,2101301
2103703,2100832
2103802,2111250
2103802,2104503
2103802,2103307
2103901,2103406
2104008,2111672
2104008,2111250
2104008,2105708
2104057,1713809
2104073,2107258
2104081,2112308
2104081,2104099
2104099,2104081
2104107,2101400
2104107,2107258
2104206,2105450
2104404,2104602
2104404,2111748
2104404,2104503
2104404,2103307
2104503,2104404
2104503,2103802
2104552,2105302
2104552,2109551
2104552,2102358
2104602,2104404
2104677,2106375
2104800,2105351
2104800,2101608
2105005,2107100
2105153,2102507
2105302,2104552
2105302,1718808
2105351,2104800
2105401,2110203
2105450,2104206
2105658,2103174
2105658,1501956
2105658,2101970
2105658,2102903
2105708,2111672
2105708,2104008
2105807,2102077
2105906,2108702
2105922,2110906
2105963,2100956
2106003,2110302
2106003,2102754
2106003,2111409
2106003,2108454
2106201,2100550
2106300,2110609
2106300,2100907
2106375,2103174
2106375,2104677
2106409,2102200
2106508,2111003
2106607,2103000
2106672,2206100
2106672,2102101
2106672,2100808
2106706,2109700
2106755,2101004
2106904,2109908
2106904,2101772
2106904,2108306
2107100,2110401
2107100,2109304
2107100,2105005
2107100,2101731
2107258,2104073
2107258,2101400
2107258,2104107
2107308,2111102
2107357,2108256
2107407,2111722
2107456,2112803
2107605,2110500
2107605,2108405
2107704,2111102
2107803,2102309
2107902,2111953
2108009,2111904
2108108,2102150
2108207,2111250
2108207,2110302
2108207,2108900
2108256,2108306
2108256,2112803
2108256,2107357
2108306,2106904
2108306,2108256
2108405,2110500
2108405,2101350
2108405,2107605
2108405,2100204
2108454,2102754
2108454,2106003
2108454,2111409
2108603,2109270
2108603,2109809
2108603,2103125
2108702,2105906
2108702,2101772
2108900,2101939
2108900,2108207
2109007,1721208
2109007,2102556
2109205,2109304
2109205,2101103
2109270,2108603
2109304,2109205
2109304,2102374
2109304,2107100
2109551,2104552
2109601,2110203
2109700,2106706
2109809,2100873
2109809,2110039
2109809,2108603
2109908,2110005
2109908,2100402
2109908,2106904
2110005,2100956
2110005,2100600
2110005,2100477
2110005,2109908
2110005,2112274
2110039,2109809
2110203,2105401
2110203,2100709
2110203,2109601
2110203,2101251
2110237,2112506
2110237,2100154
2110237,2100907
2110302,2111250
2110302,2108207
2110302,2106003
2110401,2107100
2110401,2103208
2110500,2102408
2110500,2107605
2110500,2108405
2110609,2112506
2110609,2100154
2110609,2106300
2110609,2100907
2110906,2105922
2111003,2106508
2111003,2111706
2111029,2114007
2111102,2107308
2111102,2107704
2111250,2104008
2111250,2110302
2111250,2103802
2111250,2108207
2111409,2106003
2111409,2102077
2111409,2108454
2111532,1507508
2111532,1501576
2111672,2104008
2111672,2105708
2111706,2111003
2111722,2107407
2111748,2104404
2111904,2108009
2111953,2107902
2112274,2110005
2112274,2100477
2112308,2104081
2112407,2102606
2112506,2110609
2112506,2110237
2112506,2100907
2112605,2101731
2112803,2108256
2112803,2107456
2112852,1720309
2114007,2111029
2200103,2205540
2200202,2204600
2200202,2207108
2200202,2205540
2200251,2211605
2200251,2208205
2200277,2207207
2200277,2202091
2200277,2210300
2200400,2211001
2200400,2202208
2200400,2205508
2200459,2203107
2200459,2211209
2200459,2202307
2200509,2204105
2200509,2201002
2200509,2200608
2200509,2207504
2200608,2200509
2200608,2210508
2200608,2207504
2200806,2205607
2200905,2208106
2200905,2209609
2200905,2209153
2200954,2205003
2200954,2209104
2200954,2204352
2201002,2206704
2201002,2204105
2201002,2210979
2201002,2211407
2201002,2204006
2201002,2200509
2201051,2208106
2201051,2210409
2201150,2204402
2201150,2211209
2201176,2203503
2201200,2206209
2201200,2202174
2201309,1712702
2201408,2206407
2201507,2208304
2201556,2202117
2201556,2209658
2201606,2203305
2201705,2205904
2201804,2210938
2201804,2210201
2201804,2209856
2201903,2204402
2201903,2206605
2201903,2206654
2201903,2204550
2201919,2202703
2201929,2210607
2201945,2202711
2201945,2202406
2201960,2209872
2201988,2207355
2202000,2202539
2202000,2202653
2202059,2206209
2202083,2205706
2202091,2601102
2202091,2205953
2202091,2200277
2202109,2210805
2202117,2210003
2202117,2205565
2202117,2207959
2202117,2201556
2202133,2205201
2202174,2201200
2202174,2203701
2202174,2206100
2202208,2210656
2202208,2200400
2202208,2205508
2202251,2210631
2202251,2205607
2202251,2205102
2202307,2204550
2202307,2200459
2202307,2203602
2202307,2207850
2202406,2205276
2202406,2201945
2202455,2210003
2202455,2205565
2202505,2204550
2202505,2205532
2202539,2208304
2202539,2210052
2202539,2202703
2202539,2202000
2202554,2207777
2202554,2206050
2202604,2210656
2202653,2202000
2202703,2208304
2202703,2202539
2202703,2201919
2202703,2205706
2202711,2201945
2202729,2208304
2202729,2209872
2202752,2203602
2202778,2209500
2202778,2210102
2202778,2211704
2202802,2209658
2202802,2210805
2202802,2204907
2202802,2207777
2202851,2205359
2202851,2203453
2203107,2203230
2203107,2204550
2203107,2209302
2203107,2200459
2203206,2205524
2203230,2209302
2203230,2203107
2203230,2207405
2203255,2210508
2203255,2206308
2203255,2211001
2203271,2207801
2203271,2205151
2203305,2201606
2203305,2205581
2203354,2203750
2203404,2208007
2203420,2207900
2203420,2208403
2203453,2202851
2203453,2210003
2203503,2201176
2203503,2206902
2203503,2204006
2203503,2207751
2203503,2210383
2203503,2209153
2203602,2202752
2203602,2202307
2203701,2202174
2203701,2209971
2203701,2206670
2203701,2205409
2203750,2203354
2203750,2210607
2203750,2211357
2203800,2208874
2203800,2210102
2203859,2204907
2203859,2211704
2203859,2209104
2203909,2205300
2203909,2210102
2203909,2206704
2203909,2204105
2204006,2201002
2204006,2211407
2204006,2203503
2204105,2203909
2204105,2206704
2204105,2201002
2204105,2200509
2204204,2205201
2204204,2208205
2204204,2208106
2204303,2210300
2204352,2205003
2204352,2200954
2204352,2205201
2204402,2201903
2204402,2201150
2204501,2208551
2204501,2205300
2204550,2201903
2204550,2209302
2204550,2203107
2204550,2202505
2204550,2202307
2204600,2205250
2204600,2200202
2204600,2207108
2204659,2207702
2204709,2209856
2204709,2206902
2204709,2211308
2204808,2209955
2204907,2202802
2204907,2210805
2204907,2203859
2204907,2209104
2204907,2207777
2205003,2211506
2205003,2200954
2205003,2209104
2205003,2204352
2205102,2202251
2205102,2205300
2205102,2210102
2205151,2203271
2205151,2207777
2205201,2204352
2205201,2207777
2205201,2202133
2205201,2204204
2205250,2204600
2205250,2207751
2205276,2210656
2205276,2206357
2205276,2202406
2205300,2205607
2205300,2206001
2205300,2204501
2205300,2205102
2205300,2203909
2205359,2210607
2205359,2202851
2205359,2210003
2205359,2208874
2205409,2203701
2205409,2206670
2205409,2205805
2205508,2200400
2205508,2211001
2205508,2202208
2205508,2205557
2205516,2210656
2205516,2206357
2205524,2203206
2205532,2202505
2205532,2209559
2205532,2210953
2205540,2200202
2205540,2200103
2205557,2211100
2205557,2205508
2205565,2202455
2205565,2202117
2205581,2203305
2205599,2209856
2205607,2200806
2205607,2202251
2205607,2205300
2205706,2202703
2205706,2202083
2205805,2205409
2205904,2201705
2205904,2211209
2205953,2202091
2206001,2205300
2206050,2202554
2206100,2202174
2206100,2209971
2206100,2102101
2206100,2106672
2206209,2202059
2206209,2201200
2206308,2210508
2206308,2203255
2206357,2205516
2206357,2210656
2206357,2205276
2206407,2201408
2206506,2208205
2206506,2208106
2206605,2201903
2206654,2201903
2206670,2209971
2206670,2203701
2206670,2205409
2206704,2203909
2206704,2210102
2206704,2209708
2206704,2207009
2206704,2204105
2206704,2201002
2206720,2211001
2206902,2204709
2206902,2203503
2207009,2206704
2207108,2204600
2207108,2200202
2207207,2211605
2207207,2200277
2207306,2210904
2207306,2210391
2207355,2201988
2207405,2203230
2207405,2209302
2207504,2200608
2207504,2200509
2207504,2210508
2207553,2209955
2207702,2204659
2207751,2203503
2207751,2205250
2207777,2202802
2207777,2204907
2207777,2211506
2207777,2205151
2207777,2202554
2207777,2205201
2207793,2211001
2207801,2203271
2207850,2202307
2207900,2203420
2207900,2305001
2207959,2202117
2207959,2210805
2208007,2203404
2208106,2200905
2208106,2204204
2208106,2206506
2208106,2210375
2208106,2208205
2208106,2201051
2208205,2204204
2208205,2200251
2208205,2206506
2208205,2208106
2208304,2201507
2208304,2210052
2208304,2202729
2208304,2202539
2208304,2202703
2208304,2209872
2208403,2203420
2208502,2102200
2208551,2204501
2208601,2210383
2208650,2907202
2208874,2205359
2208874,2203800
2208874,2210904
2208908,2211209
2209104,2204907
2209104,2203859
2209104,2205003
2209104,2211704
2209104,2200954
2209104,2209955
2209153,2200905
2209153,2203503
2209302,2203230
2209302,2204550
2209302,2203107
2209302,2207405
2209401,2210938
2209401,2210375
2209500,2210805
2209500,2202778
2209559,2210607
2209559,2205532
2209609,2200905
2209658,2201556
2209658,2202802
2209708,2206704
2209757,2911105
2209856,2204709
2209856,2205599
2209856,2201804
2209872,2201960
2209872,2208304
2209872,2202729
2209872,2303402
2209906,2210409
2209955,2209104
2209955,2207553
2209955,2204808
2209971,2203701
2209971,2206100
2209971,2206670
2210003,2205359
2210003,2203453
2210003,2202455
2210003,2202117
2210003,2210904
2210052,2208304
2210052,2202539
2210102,2203800
2210102,2205102
2210102,2203909
2210102,2210904
2210102,2202778
2210102,2206704
2210201,2201804
2210300,2200277
2210300,2204303
2210359,2210607
2210375,2209401
2210375,2208106
2210383,2203503
2210383,2208601
2210391,2210904
2210391,2207306
2210409,2201051
2210409,2209906
2210508,2200608
2210508,2207504
2210508,2203255
2210508,2206308
2210607,2210359
2210607,2205359
2210607,2203750
2210607,2201929
2210607,2209559
2210631,2202251
2210656,2202604
2210656,2205516
2210656,2205276
2210656,2206357
2210656,2202208
2210805,2207959
2210805,2202802
2210805,2202109
2210805,2204907
2210805,2209500
2210904,2210003
2210904,2208874
2210904,2207306
2210904,2210391
2210904,2210102
2210938,2201804
2210938,2209401
2210953,2205532
2210979,2201002
2211001,2203255
2211001,2206720
2211001,2207793
